what,kind,bundleId,bundleVersion,description,time
java.vm.info,sysinfo,,,"mixed mode, sharing",1328085910340
java.vm.name,sysinfo,,,"OpenJDK Client VM",1328085910340
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328085910340
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328085910340
java.vm.specification.version,sysinfo,,,"1.0",1328085910340
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328085910340
java.vm.version,sysinfo,,,"20.0-b11",1328085910340
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328085910348
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328085911250
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1328085912518
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328085914238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328085919063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328085919926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328085921493
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328085935529
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1328085950577
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1328085951916
started,bundle,org.eclipse.wst.sse.ui,1.3.1.v201108191312,"org.eclipse.wst.sse.ui",1328085960167
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1328085960332
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1328085960373
started,bundle,org.eclipse.wst.xml.ui,1.1.201.v201108151912,"org.eclipse.wst.xml.ui",1328085960415
